groundTruth,count,mobilenet_v2_shift1_mae,mobilenet_v2_shift1_mean_pred,mobilenet_v2_shift1_mean_bias
-1.62,50,0.7147069860279561,-0.9169708769023418,0.7030291230976582
-1.6,108,0.4239055361460756,-1.183981507188744,0.416018492811256
-1.58,88,0.415041232935407,-1.1745558851821856,0.40544411481781445
-1.56,87,0.44419294336746495,-1.1274419622174625,0.43255803778253776
-1.5,333,0.4227751409774786,-1.108610187699129,0.3913898123008711
0.0,534,0.40358687490782935,-0.04529542439662562,-0.04529542439662562
1.5,76,0.4404118452221155,1.1097532935244472,-0.39024670647555276
1.51,150,0.5249958524584769,1.0275334385037422,-0.48246656149625766
1.511,173,0.29177700273081053,1.2571399436692972,-0.25386005633070274
1.64,72,0.28359513228966127,1.3751095419542656,-0.26489045804573413
1.72,72,0.2215000632570849,1.512292983217372,-0.20770701678262812
