groundTruth,count,legacy_mae,legacy_mean_pred,legacy_mean_bias,mobilenet_v2_single_mae,mobilenet_v2_single_mean_pred,mobilenet_v2_single_mean_bias,mobilenet_v2_temporal3_mae,mobilenet_v2_temporal3_mean_pred,mobilenet_v2_temporal3_mean_bias
-1.62,50,0.2972567062616349,-1.3494017595052719,0.27059824049472825,0.3755028484106065,-1.245451541543007,0.37454845845699325,0.03422774171829232,-1.5871052527427674,0.03289474725723277
-1.6,108,0.20337681621313106,-1.4167912423058793,0.1832087576941209,0.19607766740438018,-1.4121917887349371,0.18780821126506295,0.04624878234333467,-1.556848970828233,0.04315102917176713
-1.58,88,0.10444394042546103,-1.4944866960021583,0.08551330399784182,0.16313195262781602,-1.4250312138518149,0.15496878614818516,0.035637698932127565,-1.547900145704096,0.032099854295904055
-1.56,87,0.10262714888857703,-1.4702953199545543,0.08970468004544585,0.11830138748918459,-1.458541092216626,0.1014589077833741,0.0691071461946115,-1.4944332690759636,0.06556673092403636
-1.5,333,0.14920130148306265,-1.375276375819255,0.12472362418074508,0.15842835722328932,-1.362959422453589,0.1370405775464109,0.07001739436083727,-1.4369085321913253,0.06309146780867476
0.0,534,0.20713132042228505,0.010788856736952892,0.010788856736952892,0.15212722474967272,-0.02228581571205055,-0.02228581571205055,0.05691536094588733,-0.013955717090140568,-0.013955717090140568
1.5,76,0.1705815188194576,1.373029442994218,-0.1269705570057819,0.17488742002138966,1.3309258743140258,-0.16907412568597416,0.09959887360271655,1.4158873448246403,-0.08411265517535962
1.51,150,0.3418297096172969,1.2076741935809454,-0.30232580641905465,0.15148069556256136,1.3817001397162676,-0.12829986028373241,0.07381443942189217,1.4555640630424023,-0.054435936957597734
1.511,173,0.16609014585528067,1.37874969512741,-0.13225030487258987,0.1287482585965553,1.4082155804327459,-0.10278441956725415,0.06581105400509916,1.4663584575143163,-0.04464154248568354
1.64,72,0.2265064662198226,1.4767152662906382,-0.16328473370936167,0.11969735497815732,1.5230731124886208,-0.11692688751137907,0.04267849193678962,1.61479518810908,-0.025204811890919904
1.72,72,0.16664715129468174,1.58026906558209,-0.13973093441790999,0.1863278620979852,1.5344819711107347,-0.18551802888926527,0.028798742095629364,1.6978602326578565,-0.02213976734214356
